,City,Code.1,Code.2,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI),LSOA
256,Leeds,063B,E01011678,4,9,10,4,1,5,4,1,2,1,Leeds 063B
257,Leeds,063D,E01011681,2,2,3,2,1,2,3,2,1,2,Leeds 063D
258,Leeds,063E,E01033006,4,9,10,4,3,4,1,1,5,2,Leeds 063E
259,Leeds,064A,E01011338,1,1,1,1,1,2,2,4,1,1,Leeds 064A
260,Leeds,064B,E01011673,1,1,1,1,1,1,4,1,2,1,Leeds 064B
261,Leeds,064D,E01011677,1,1,1,1,1,4,5,1,1,1,Leeds 064D
262,Leeds,064E,E01033031,2,3,3,5,2,1,3,1,3,1,Leeds 064E
263,Leeds,064F,E01033035,1,1,1,1,1,1,3,1,1,1,Leeds 064F
264,Leeds,065A,E01011344,1,1,1,1,1,1,6,1,1,1,Leeds 065A
265,Leeds,065B,E01011347,1,1,1,1,1,1,5,1,1,2,Leeds 065B
266,Leeds,065C,E01011348,1,1,1,1,1,1,5,1,1,2,Leeds 065C
267,Leeds,065D,E01011349,1,1,1,1,1,3,5,2,1,2,Leeds 065D
268,Leeds,066A,E01011586,6,6,6,6,6,4,6,4,5,6,Leeds 066A
269,Leeds,066B,E01011595,7,7,6,7,6,8,6,6,6,7,Leeds 066B
270,Leeds,066C,E01011597,4,4,4,5,4,3,7,3,5,4,Leeds 066C
271,Leeds,066D,E01011599,6,6,6,7,5,6,8,4,6,5,Leeds 066D
272,Leeds,067B,E01011287,5,6,5,5,4,5,4,4,6,6,Leeds 067B
273,Leeds,067G,E01032499,6,8,6,6,5,1,5,6,10,6,Leeds 067G
274,Leeds,067H,E01032500,2,2,2,2,2,2,6,1,2,3,Leeds 067H
275,Leeds,067I,E01032606,3,4,3,3,4,2,6,2,4,5,Leeds 067I
276,Leeds,067J,E01032607,2,3,4,3,1,1,7,1,3,3,Leeds 067J
277,Leeds,067K,E01032608,3,4,3,5,3,3,6,1,4,5,Leeds 067K
278,Leeds,068A,E01011608,3,3,4,2,3,1,7,2,4,3,Leeds 068A
279,Leeds,068B,E01011609,3,3,2,2,2,4,9,1,4,3,Leeds 068B
280,Leeds,068C,E01011610,6,6,6,7,5,3,10,2,7,6,Leeds 068C
281,Leeds,068D,E01011611,2,2,2,2,2,1,7,2,2,2,Leeds 068D
282,Leeds,068E,E01011614,7,7,8,7,7,4,8,3,7,6,Leeds 068E
283,Leeds,069A,E01011413,8,9,7,8,5,8,9,4,9,8,Leeds 069A
284,Leeds,069B,E01011415,5,6,5,7,4,4,7,2,7,6,Leeds 069B
285,Leeds,069C,E01011416,7,7,6,5,6,8,7,4,8,8,Leeds 069C
286,Leeds,069D,E01011417,5,6,5,6,3,6,8,3,9,6,Leeds 069D
287,Leeds,069E,E01011420,6,9,5,7,4,1,5,8,10,10,Leeds 069E
288,Leeds,070A,E01011615,3,4,3,3,3,1,9,1,3,7,Leeds 070A
289,Leeds,070B,E01011617,1,1,2,2,2,1,6,3,1,2,Leeds 070B
290,Leeds,070C,E01011618,2,1,2,2,2,2,8,1,1,4,Leeds 070C
291,Leeds,070D,E01011621,1,1,2,1,2,2,5,3,1,3,Leeds 070D
