Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle
3232,10BA0000703,427980,441453,2,1,31-Jan-10,1140,6,1,1,1,1,3,1,15,1
3254,10BA0000761,432573,433795,1,1,02-Feb-10,2335,3,Frost/ Ice,4,1,1,3,1,18,1
3255,10CA0000826,428322,434094,2,1,02-Feb-10,1930,3,2,4,1,1,3,1,31,1
3259,10AA0001076,428004,435412,2,1,03-Feb-10,900,6,1,1,1,1,3,1,21,1
3287,10CA0000886,429133,430518,2,1,06-Feb-10,1727,6,2,1,1,1,2,1,30,1
3292,10BA0000927,438463,432688,2,1,07-Feb-10,1250,3,2,1,1,1,3,1,63,1
3391,10AA0001236,428397,434800,2,1,18-Feb-10,1838,6,2,4,3,1,3,1,21,1
3416,10AA0001350,428906,435505,2,1,23-Feb-10,2120,3,3,4,3,1,3,1,24,1
3420,10AA0001362,427603,436790,2,1,24-Feb-10,1620,3,1,1,1,1,3,1,33,1
3423,10CA0001445,426375,426745,2,1,24-Feb-10,1830,3,1,4,1,1,3,1,42,1
3427,10AA0001676,424298,437191,2,1,25-Feb-10,740,3,2,1,9,1,3,1,30,1
3432,10CA0001417,428944,429843,2,1,25-Feb-10,1640,3,2,1,2,1,3,1,25,1
3438,10CA0001452,436200,427757,2,1,26-Feb-10,1645,3,2,1,1,1,3,1,34,1
3468,10AA0001577,428595,435253,2,1,02-Mar-10,1736,6,1,1,1,1,3,1,26,1
3469,10AA0001626,425143,437846,2,1,02-Mar-10,1616,3,1,1,1,1,3,2,25,1
3490,10AA0001614,420263,445404,2,1,04-Mar-10,2210,6,1,4,1,1,3,1,40,1
3498,10AA0001694,425203,437136,2,1,05-Mar-10,1650,6,1,1,9,1,3,1,7,1
3501,10CA0001713,430659,433713,2,1,05-Mar-10,855,3,1,1,1,1,3,2,23,1
3521,10BA0002293,440137,426162,2,1,08-Mar-10,915,3,1,1,1,1,2,2,69,1
3528,10AA0001822,424093,437269,2,1,10-Mar-10,845,3,1,1,1,1,3,1,28,1
3541,10AA0001805,424895,443474,2,1,11-Mar-10,1015,3,1,1,1,1,2,2,71,1
3591,10AA0002078,428044,432826,1,2,19-Mar-10,820,4,1,1,1,1,2,1,23,1
3592,10AA0002078,428044,432826,1,2,19-Mar-10,820,4,1,1,1,3,3,1,90,1
3603,10AA0002113,420437,445240,2,1,20-Mar-10,1110,6,2,1,2,1,3,1,43,1
3613,10CA0002214,435794,425979,2,1,22-Mar-10,1557,3,1,1,1,1,3,1,45,1
3614,10CA0002341,430022,433781,2,1,22-Mar-10,1710,6,1,1,1,1,3,1,39,1
3616,10CA0002128,433549,429830,2,1,23-Mar-10,718,3,2,1,1,1,3,1,51,1
3643,10BA0126930,438792,430898,2,1,26-Mar-10,1203,3,1,1,1,1,1,1,19,1
3650,10AA0002317,426483,435749,2,1,27-Mar-10,2305,6,1,4,1,1,3,1,24,1
