"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"1160",14949,14949,"590209",430908,436542,2,1,"20-Jul-09",1025,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8240169923,-1.53041005993
"1175",14968,14968,"596009",423750,438006,2,1,"24-Jul-09",1415,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",12,"Bicycle",53.8375529609,-1.63904678731
"1180",14978,14978,"597709",423129,437611,2,1,"20-Jul-09",704,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.8340304102,-1.64851429712
"1186",14984,14984,"599509",436261,434182,3,1,"26-Jul-09",1820,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",10,"Bicycle",53.8024580574,-1.44936306275
"1204",15009,15009,"608409",430515,428118,2,1,"22-Jul-09",1855,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",35,"Bicycle",53.7483190958,-1.53721480287
"1216",15023,15023,"617009",426977,439876,2,1,"31-Jul-09",1330,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.854204293,-1.58983977461
"1223",15031,15031,"619409",429526,440822,2,1,"27-Jul-09",1420,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",67,"Bicycle",53.8625688435,-1.55099482929
"1224",15032,15032,"619509",425474,434287,2,1,"28-Jul-09",1030,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Fatal","Female",27,"Bicycle",53.8040420319,-1.61315404898
"1229",15038,15038,"621509",440027,432377,2,1,"27-Jul-09",725,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",45,"Bicycle",53.7859576209,-1.39241284043
"1232",15042,15042,"622009",430441,436613,2,1,"31-Jul-09",1620,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.8246827506,-1.53749797654
"1238",15052,15052,"623509",436498,434148,3,1,"31-Jul-09",1250,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.8021358695,-1.44576834359
"1244",15059,15059,"627509",432024,435868,2,1,"02-Aug-09",2000,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.8178910744,-1.51352534293
"1245",15060,15060,"627809",420188,441782,4,3,"28-Jul-09",1950,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Female",43,"Bicycle",53.871645304,-1.69293287838
"1264",15086,15086,"635309",430898,436548,2,1,"03-Aug-09",755,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",48,"Bicycle",53.8240715189,-1.53056138295
"1272",15096,15096,"638809",432723,438298,2,1,"05-Aug-09",2030,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.8396899109,-1.5026486476
"1277",15105,15105,"641209",426123,434307,2,1,"06-Aug-09",1150,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8041896163,-1.6032969513
"1296",15137,15137,"649009",427826,436514,2,1,"11-Aug-09",1715,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8239394524,-1.57723640599
"1310",15158,15158,"656109",433537,429825,2,1,"15-Aug-09",720,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",41,"Bicycle",53.7634771428,-1.49120016809
"1313",15161,15161,"656709",426837,437898,2,1,"12-Aug-09",1316,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.8364318727,-1.59214113602
"1318",15167,15167,"657809",427945,436113,2,1,"13-Aug-09",1600,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",66,"Bicycle",53.820328587,-1.57546491774
"1319",15168,15168,"658109",421550,439245,2,1,"13-Aug-09",1630,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8487860048,-1.67239488946
"1322",15172,15172,"659609",426150,435588,2,1,"08-Aug-09",1845,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8157028853,-1.60277809688
"1324",15174,15174,"660509",443079,444314,1,1,"12-Aug-09",1220,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",54,"Bicycle",53.8930080492,-1.34441457857
"1337",15195,15195,"667109",425715,435158,2,1,"12-Aug-09",1810,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8118594078,-1.60942156977
"1338",15196,15196,"667209",431738,431420,2,1,"18-Aug-09",846,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.7779268987,-1.51832814729
"1346",15207,15207,"672409",428860,433945,2,1,"19-Aug-09",1710,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8007910223,-1.56176816248
"1362",15240,15240,"676609",427433,433442,2,1,"18-Aug-09",2030,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",8,"Bicycle",53.7963468832,-1.58348095641
"1363",15241,15241,"676809",425548,435261,2,1,"20-Aug-09",1435,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.8127934849,-1.61194947347
"1364",15242,15242,"677509",431409,433473,2,1,"22-Aug-09",1718,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.7964006893,-1.52311179295
"1366",15244,15244,"677809",428719,437082,2,1,"22-Aug-09",1124,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8289964623,-1.56361632579
"1379",15266,15266,"686909",430130,437782,2,1,"13-Aug-09",1610,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",8,"Bicycle",53.8352086376,-1.54210837082
"1393",15289,15289,"693409",432139,435818,2,1,"25-Aug-09",1545,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8174345446,-1.51178367839
"1432",15366,15366,"716509",431720,433955,2,1,"01-Sep-09",1755,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8007143715,-1.51834036595
"1434",15368,15368,"717109",428867,432487,1,1,"02-Sep-09",1505,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.7876850284,-1.56179849794
"1435",15369,15369,"717309",431272,428911,2,1,"01-Sep-09",1800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",32,"Bicycle",53.7554023211,-1.5256544047
"1444",15381,15381,"721109",423659,434671,2,1,"05-Sep-09",1820,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.8075794683,-1.64068634915
"1446",15383,15383,"721509",439029,431761,2,1,"05-Sep-09",1510,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",25,"Bicycle",53.7804964677,-1.40763900325
"1453",15398,15398,"722809",428912,435505,2,1,"04-Sep-09",1745,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",54,"Bicycle",53.81481056,-1.56083204988
"1457",15403,15403,"723609",428658,434965,2,1,"07-Sep-09",1804,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8099707076,-1.56474043054
"1458",15404,15404,"723809",429145,434068,2,1,"07-Sep-09",930,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8018807471,-1.55742900871
"1461",15407,15407,"727609",420505,440240,2,1,"06-Sep-09",2025,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",62,"Bicycle",53.8577721744,-1.68821434444
"1464",15413,15413,"728909",431379,435350,2,2,"04-Sep-09",1800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8132742738,-1.52337595415
"1478",15430,15430,"737309",431671,435358,2,1,"10-Sep-09",844,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",44,"Bicycle",53.8133284786,-1.51894003582
"1487",15441,15441,"738609",434503,435434,3,1,"09-Sep-09",1950,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8138313963,-1.4759173487
"1503",15462,15462,"746609",427518,433834,2,1,"01-Sep-09",1650,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.7998659936,-1.58215540249
"1512",15472,15472,"750509",442103,434635,2,1,"13-Sep-09",930,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",65,"Bicycle",53.8060897566,-1.36059380471
"1521",15484,15484,"754309",434904,429047,2,1,"02-Sep-09",1300,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.7563941375,-1.47054992747
"1525",15493,15493,"758509",429778,433635,2,1,"02-Sep-09",755,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.7979527741,-1.54785900945
"1535",15504,15504,"762009",446225,429783,2,1,"16-Sep-09",725,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.7621282079,-1.29872672032
"1538",15507,15507,"763809",430889,433535,2,1,"18-Sep-09",1450,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.796989123,-1.53100053022
"1539",15508,15508,"764009",431348,435058,2,1,"14-Sep-09",1835,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",27,"Bicycle",53.8106514487,-1.52387654955
"1542",15512,15512,"765209",431976,435829,2,1,"17-Sep-09",905,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.8175434713,-1.51425853307
"1547",15519,15519,"767109",430642,434705,2,1,"17-Sep-09",1950,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",26,"Bicycle",53.8075205203,-1.53463425339
"1549",15521,15521,"768409",433601,434441,2,1,"20-Sep-09",1500,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8049647528,-1.48972606375
"1554",15531,15531,"772209",444906,444750,2,1,"09-Sep-09",1915,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",44,"Bicycle",53.896771885,-1.31654909455
"1555",15532,15532,"772309",440554,448560,2,1,"10-Sep-09",1215,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",63,"Bicycle",53.9313761161,-1.38227506964
"1564",15548,15548,"777109",423724,434194,2,1,"15-Sep-09",1140,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8032888381,-1.63973596324
"1569",15561,15561,"781209",427653,436667,2,1,"12-Sep-09",1727,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",27,"Bicycle",53.8253239616,-1.57985097715
"1579",15578,15578,"785209",423254,435774,2,1,"11-Sep-09",1210,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.8175124044,-1.646753676
"1581",15580,15580,"785809",430072,433830,2,1,"25-Sep-09",1,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.7996886641,-1.54337610844
"1585",15585,15585,"787909",429250,438591,2,1,"26-Sep-09",2230,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",45,"Bicycle",53.8425307709,-1.55540443411
"1596",15602,15602,"794809",428905,435508,2,1,"28-Sep-09",1735,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",50,"Bicycle",53.8148379154,-1.5609380933
"1603",15618,15618,"799109",428272,433520,2,1,"29-Sep-09",730,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",39,"Bicycle",53.7970030903,-1.57073553136
"1604",15620,15620,"800109",429433,433462,2,1,"01-Oct-09",915,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.7964173554,-1.55311375054
"1606",15623,15623,"802309",430597,426445,2,1,"27-Sep-09",950,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",44,"Bicycle",53.733276019,-1.53613688276
"1611",15630,15630,"804209",428110,432803,2,1,"02-Oct-09",1630,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",40,"Bicycle",53.7905669207,-1.57326058774
"1621",15650,15650,"811009",432337,432653,2,1,"01-Oct-09",1827,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.7889731103,-1.50910844044
"1631",15664,15664,"813809",429221,431643,2,1,"05-Oct-09",1715,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.7800787549,-1.55650495757
"1640",15678,15678,"816409",432514,427314,2,1,"05-Oct-09",1715,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.7409712562,-1.50698411862
"1662",15706,15706,"827109",427517,434869,2,1,"09-Oct-09",1655,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.8091694172,-1.58207807766
"1663",15708,15708,"828109",427112,436977,3,1,"05-Oct-09",1300,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8281389743,-1.58804314945
"1680",15730,15730,"838709",430704,439227,2,1,"10-Oct-09",845,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.8481636291,-1.53324105701
"1681",15731,15731,"838909",432331,434981,2,1,"10-Oct-09",1355,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.8098991317,-1.50895511503
"1683",15733,15733,"840009",427984,435223,2,1,"13-Oct-09",1700,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",22,"Bicycle",53.8123265122,-1.57495341152
"1686",15737,15737,"840509",430700,434876,2,1,"29-Sep-09",1736,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8090541672,-1.53373637282
"1691",15748,15748,"844509",441659,430764,2,1,"13-Oct-09",1542,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.7713311089,-1.36785955713
"1693",15750,15750,"845109",428148,435835,2,1,"30-Sep-09",1445,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8178187668,-1.57240651483
"1702",15764,15764,"848609",431893,430494,2,1,"15-Oct-09",620,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",27,"Bicycle",53.7695938638,-1.51607163198
"1722",15799,15799,"860109",436222,434266,2,1,"16-Oct-09",1530,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",44,"Bicycle",53.8032158164,-1.44994538031
"1728",15809,15809,"863409",430089,431274,2,1,"19-Oct-09",1715,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.7767124567,-1.5433675475
"1732",15815,15815,"865609",427393,429667,2,1,"13-Oct-09",715,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",31,"Bicycle",53.762416255,-1.58442364615
