"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"1030",14761,14761,"533109",428435,435000,2,1,"02-Jul-09",1815,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8102975554,-1.56812402889
"1033",14768,14768,"534409",430072,433934,2,1,"03-Jul-09",2340,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8006234914,-1.54336595244
"1036",14771,14771,"536709",430660,433453,1,1,"28-May-09",1545,6,"Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female",18,"Bicycle",53.7962655942,-1.53448556015
"1046",14792,14792,"541809",429793,433791,2,1,"01-Jul-09",1300,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.7993541574,-1.54761617009
"1047",14794,14794,"543109",428224,435779,2,1,"06-Jul-09",1430,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.8173112772,-1.57125717985
"1050",14798,14798,"543709",429141,435248,2,1,"06-Jul-09",1000,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.8124876736,-1.55737803585
"1058",14806,14806,"548009",420228,439432,2,1,"07-Jul-09",855,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",40,"Bicycle",53.8505200928,-1.69247940712
"1059",14807,14807,"548709",426824,434970,2,1,"18-Jun-09",815,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",53,"Bicycle",53.8101134915,-1.59259410401
"1067",14815,14815,"551609",426780,428665,2,2,"13-Jul-09",1205,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",42,"Bicycle",53.7534413057,-1.59381006105
"1070",14823,14823,"552009",431403,438152,2,1,"08-Jul-09",1035,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",56,"Bicycle",53.838459048,-1.52272524523
"1080",14839,14839,"558909",424527,437057,2,1,"14-Jul-09",705,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",38,"Bicycle",53.8289865138,-1.62731392565
"1085",14844,14844,"560109",428416,432513,2,1,"14-Jul-09",713,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",30,"Bicycle",53.7879435572,-1.5686420721
"1089",14848,14848,"563909",428133,431161,2,1,"14-Jul-09",905,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.7758060921,-1.57306128931
